,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 3 Subset 1: 1 dimensions,-2.470720412655148e+21,20806566490341.156,98694014872979.69
Dataset 3 Subset 1: 2 dimensions,-2.902923426107831e+21,24724278874465.7,106978574065623.4
