,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 3 Subset 3: 1 dimensions,-5.266490780186531e+19,2431968380172.3306,14409193678620.303
Dataset 3 Subset 3: 2 dimensions,-4.6354606968449563e+21,31320811254575.047,135184054029878.44
