,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 1 Subset 2: 1 dimensions,0.4472913419501984,1140.0543496621622,1479.694843950282
Dataset 1 Subset 2: 2 dimensions,0.44298450675095447,1147.7608108108109,1485.4487210508553
