,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 3 Subset 2: 1 dimensions,-1.3823959189178659e+19,1473808627386.8413,7382360281999.037
Dataset 3 Subset 2: 2 dimensions,-1.6706295193796772e+22,59177918287339.414,256636893856572.34
Dataset 3 Subset 2: 3 dimensions,-1.6925741437033035e+20,5992104947724.866,25831692717587.977
Dataset 3 Subset 2: 4 dimensions,-3.2917384664125276e+19,2456140142855.761,11391782278235.518
