,$OSR^2$,Mean Absolute Error,Root Mean Square Error
Dataset 1 OLS,0.5473523898669429,1034.0209909240189,1357.6230666625536
Dataset 2 OLS,0.5451559757012676,1019.1398517721566,1341.5296842084244
Dataset 3 OLS,0.5478645977195722,1012.0256371049506,1335.595060402139
