,$OSR^2$,Mean Absolute Error,Root Mean Square Error
Dataset 2: 1 dimensions,-2.212822333882688e+21,21657086441340.883,93571224576998.39
Dataset 2: 2 dimensions,-2.3680658919821626e+22,68399304173907.61,306101833817169.7
Dataset 2: 3 dimensions,-5.2654549238438806e+19,3319719713543.3623,14434009597914.223
Dataset 2: 4 dimensions,-3.634824613255841e+18,756289189977.3677,3792370592550.232
