,$OSR^2$,Mean Absolute Error,Root Mean Square Error
Dataset 1: 1 dimensions,0.43116609605389766,1179.2094594594594,1521.9200170906274
Dataset 1: 2 dimensions,0.4335211883419545,1185.1261349239865,1518.7662144863896
Dataset 1: 3 dimensions,0.4804172568744678,1142.012795608108,1454.5426214214804
Dataset 1: 4 dimensions,0.4800420781797149,1141.8824324324323,1455.0676724678988
