,$R^2$,Mean Absolute Error,Root Mean Square Error
Dataset 3 Random Forest,0.5665346754933279,899.2981093472013,1307.2426102387774
Dataset 3 Random Forest,0.5723624869664765,891.7936882737555,1298.4251301533682
Dataset 3 AdaBoost,0.4796156115055234,1047.268113162242,1432.3235890597662
Dataset 3 AdaBoost,0.4647614801853048,1015.909933935046,1452.622260904877
Dataset 3 Gradient Boosting,0.5870654940547193,873.1734562288627,1275.908710700778
Dataset 3 Extra Trees,0.5783361632844258,857.5111765783412,1289.3243739095199
Dataset 3 Extra Trees,0.5772906293741856,862.2963936877896,1290.9218523331092
Dataset 3 Extra Trees,0.5866969668062556,849.4448835075516,1276.4779320376754
