Time,LS Win %,Last Game,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-02-12 00:00:00,0.6805555555555556,13210.0,17171.0,Denver Nuggets,Dallas Mavericks,0,1.0,Friday,February,10012.0
1999-02-12 00:00:00,0.24285714285714285,12039.0,20108.0,Golden State Warriors,Utah Jazz,0,5.0,Friday,February,11022.0
1999-02-13 00:00:00,0.6842105263157895,19023.0,19023.0,Phoenix Suns,Los Angeles Clippers,0,3.0,Saturday,February,19023.0
1999-02-14 00:00:00,0.7362637362637363,22194.0,23079.0,Chicago Bulls,San Antonio Spurs,0,2.0,Sunday,February,22386.0
1999-02-14 00:00:00,0.24285714285714285,11022.0,20108.0,Golden State Warriors,Portland Trail Blazers,0,1.0,Sunday,February,10847.0
1999-02-14 00:00:00,0.6056338028169014,6118.0,13855.0,Los Angeles Clippers,Minnesota Timberwolves,0,4.0,Sunday,February,8592.0
1999-02-14 00:00:00,0.375,16892.0,20930.0,Philadelphia 76ers,Atlanta Hawks,0,4.0,Sunday,February,13307.0
1999-02-14 00:00:00,0.7647058823529411,17505.0,17505.0,Los Angeles Lakers,Indiana Pacers,0,2.0,Sunday,February,17505.0
1999-02-14 00:00:00,0.4931506849315068,15410.0,17248.0,Orlando Magic,Milwaukee Bucks,0,4.0,Sunday,February,15914.0
1999-02-15 00:00:00,0.6805555555555556,10012.0,17171.0,Denver Nuggets,Phoenix Suns,0,3.0,Monday,February,10415.0
1999-02-15 00:00:00,0.24285714285714285,10847.0,20108.0,Golden State Warriors,Minnesota Timberwolves,0,3.0,Monday,February,13118.0
1999-02-15 00:00:00,0.4939759036144578,19763.0,19763.0,New York Knicks,Detroit Pistons,0,3.0,Monday,February,19763.0
1999-02-15 00:00:00,0.5789473684210527,19980.0,20735.0,Portland Trail Blazers,Dallas Mavericks,0,2.0,Monday,February,18231.0
1999-02-15 00:00:00,0.7362637362637363,19911.0,19911.0,Utah Jazz,Sacramento Kings,0,5.0,Monday,February,19911.0
1999-02-16 00:00:00,0.7032967032967034,16621.0,16795.0,Indiana Pacers,Miami Heat,0,3.0,Tuesday,February,15812.0
1999-02-16 00:00:00,0.7215189873417721,14228.0,20562.0,Cleveland Cavaliers,Orlando Magic,0,3.0,Tuesday,February,12918.0
1999-02-16 00:00:00,0.7362637362637363,22386.0,23079.0,Chicago Bulls,Atlanta Hawks,0,1.0,Tuesday,February,22156.0
1999-02-16 00:00:00,0.75,16285.0,16285.0,Houston Rockets,Phoenix Suns,0,2.0,Tuesday,February,16285.0
1999-02-16 00:00:00,0.7647058823529411,17505.0,17505.0,Los Angeles Lakers,Charlotte Hornets,0,3.0,Tuesday,February,14093.0
1999-02-16 00:00:00,0.375,13307.0,20930.0,Philadelphia 76ers,Milwaukee Bucks,0,3.0,Tuesday,February,10976.0
1999-02-16 00:00:00,0.7681159420289855,15968.0,17317.0,Sacramento Kings,Boston Celtics,0,2.0,Tuesday,February,16576.0
1999-02-16 00:00:00,0.4939759036144578,19763.0,19763.0,New York Knicks,Toronto Raptors,0,1.0,Tuesday,February,19763.0
1999-02-17 00:00:00,0.4722222222222222,17783.0,22076.0,Detroit Pistons,Miami Heat,0,3.0,Wednesday,February,17225.0
1999-02-17 00:00:00,0.24285714285714285,13118.0,20108.0,Golden State Warriors,Charlotte Hornets,0,3.0,Wednesday,February,9734.0
1999-02-17 00:00:00,0.7647058823529411,14093.0,17505.0,Los Angeles Lakers,Dallas Mavericks,0,3.0,Wednesday,February,13492.0
1999-02-17 00:00:00,0.5277777777777778,16886.0,18717.0,Milwaukee Bucks,Chicago Bulls,0,3.0,Wednesday,February,14682.0
1999-02-17 00:00:00,0.5277777777777778,19006.0,19006.0,Minnesota Timberwolves,Houston Rockets,0,4.0,Wednesday,February,18151.0
1999-02-17 00:00:00,0.4931506849315068,15914.0,17248.0,Orlando Magic,Washington Wizards,0,1.0,Wednesday,February,15147.0
1999-02-17 00:00:00,0.5789473684210527,18231.0,20735.0,Portland Trail Blazers,Denver Nuggets,0,3.0,Wednesday,February,17726.0
1999-02-17 00:00:00,0.7530864197530864,21319.0,39554.0,San Antonio Spurs,Phoenix Suns,0,2.0,Wednesday,February,16419.0
1999-02-18 00:00:00,0.7215189873417721,12918.0,20562.0,Cleveland Cavaliers,New York Knicks,0,4.0,Thursday,February,13910.0
1999-02-18 00:00:00,0.7362637362637363,19911.0,19911.0,Utah Jazz,Denver Nuggets,0,5.0,Thursday,February,19212.0
1999-02-18 00:00:00,0.7032967032967034,15812.0,16795.0,Indiana Pacers,Philadelphia 76ers,0,2.0,Thursday,February,15011.0
1999-02-19 00:00:00,0.5789473684210527,17726.0,20735.0,Portland Trail Blazers,Boston Celtics,0,4.0,Friday,February,18345.0
1999-02-19 00:00:00,0.7681159420289855,16576.0,17317.0,Sacramento Kings,Charlotte Hornets,0,3.0,Friday,February,17317.0
1999-02-19 00:00:00,0.6842105263157895,19023.0,19023.0,Phoenix Suns,Detroit Pistons,0,3.0,Friday,February,19023.0
1999-02-19 00:00:00,0.5441176470588235,19335.0,20674.0,Washington Wizards,Chicago Bulls,0,2.0,Friday,February,19220.0
1999-02-19 00:00:00,0.7647058823529411,13492.0,17505.0,Los Angeles Lakers,San Antonio Spurs,0,2.0,Friday,February,17505.0
1999-02-19 00:00:00,0.24285714285714285,9734.0,20108.0,Golden State Warriors,Dallas Mavericks,0,4.0,Friday,February,11432.0
1999-02-19 00:00:00,0.375,10976.0,20930.0,Philadelphia 76ers,New York Knicks,0,1.0,Friday,February,19681.0
1999-02-20 00:00:00,0.5277777777777778,14682.0,18717.0,Milwaukee Bucks,Indiana Pacers,0,3.0,Saturday,February,18173.0
1999-02-20 00:00:00,0.375,19681.0,20930.0,Philadelphia 76ers,Atlanta Hawks,0,1.0,Saturday,February,15159.0
1999-02-20 00:00:00,0.6056338028169014,8592.0,13855.0,Los Angeles Clippers,Dallas Mavericks,0,0.0,Saturday,February,10946.0
1999-02-20 00:00:00,0.5128205128205128,14832.0,15200.0,Miami Heat,Houston Rockets,0,4.0,Saturday,February,15200.0
1999-02-20 00:00:00,0.5789473684210527,18345.0,20735.0,Portland Trail Blazers,Golden State Warriors,0,4.0,Saturday,February,17645.0
1999-02-21 00:00:00,0.5277777777777778,18151.0,19006.0,Minnesota Timberwolves,Sacramento Kings,0,2.0,Sunday,February,16848.0
1999-02-21 00:00:00,0.4939759036144578,19763.0,19763.0,New York Knicks,Chicago Bulls,0,4.0,Sunday,February,19763.0
1999-02-21 00:00:00,0.5441176470588235,19220.0,20674.0,Washington Wizards,Boston Celtics,0,2.0,Sunday,February,20674.0
1999-02-21 00:00:00,0.4931506849315068,15147.0,17248.0,Orlando Magic,Houston Rockets,0,4.0,Sunday,February,17248.0
1999-02-21 00:00:00,0.7530864197530864,16419.0,39554.0,San Antonio Spurs,Detroit Pistons,0,3.0,Sunday,February,19495.0
1999-02-22 00:00:00,0.7215189873417721,13910.0,20562.0,Cleveland Cavaliers,Philadelphia 76ers,0,1.0,Monday,February,13203.0
1999-02-22 00:00:00,0.6805555555555556,10415.0,17171.0,Denver Nuggets,Los Angeles Lakers,0,3.0,Monday,February,17171.0
1999-02-22 00:00:00,0.5277777777777778,16848.0,19006.0,Minnesota Timberwolves,San Antonio Spurs,0,2.0,Monday,February,15374.0
1999-02-22 00:00:00,0.4931506849315068,17248.0,17248.0,Orlando Magic,Sacramento Kings,0,2.0,Monday,February,16542.0
1999-02-22 00:00:00,0.6842105263157895,19023.0,19023.0,Phoenix Suns,Dallas Mavericks,0,3.0,Monday,February,18596.0
1999-02-22 00:00:00,0.7362637362637363,19212.0,19911.0,Utah Jazz,Los Angeles Clippers,0,5.0,Monday,February,19911.0
