Time,Curr Win %,Last Attendance vs Opp,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-02-27 00:00:00,0.16666666666666666,22082.0,Chicago Bulls,Charlotte Hornets,0.0,1.0,Saturday,February,22814.0
1999-02-27 00:00:00,0.3,20674.0,Washington Wizards,Portland Trail Blazers,0.0,2.0,Saturday,February,18550.0
1999-02-28 00:00:00,0.5833333333333334,18327.0,Phoenix Suns,Golden State Warriors,0.0,3.0,Sunday,February,18587.0
1999-02-28 00:00:00,0.7777777777777778,19101.0,Minnesota Timberwolves,Portland Trail Blazers,0.0,4.0,Sunday,February,16219.0
1999-03-01 00:00:00,0.2727272727272727,16427.0,Washington Wizards,Philadelphia 76ers,0.0,1.0,Monday,March,13814.0
1999-03-01 00:00:00,0.5384615384615384,18422.0,Phoenix Suns,Los Angeles Lakers,0.0,2.0,Monday,March,19023.0
1999-03-02 00:00:00,0.4166666666666667,19346.0,Cleveland Cavaliers,Boston Celtics,0.0,1.0,Tuesday,March,12906.0
1999-03-02 00:00:00,0.8333333333333334,20033.0,Portland Trail Blazers,Utah Jazz,0.0,3.0,Tuesday,March,19980.0
1999-03-02 00:00:00,0.6153846153846154,18722.0,Minnesota Timberwolves,Golden State Warriors,0.0,2.0,Tuesday,March,14776.0
1999-03-02 00:00:00,0.6428571428571429,20928.0,Chicago Bulls,Detroit Pistons,0.0,5.0,Tuesday,March,22432.0
1999-03-03 00:00:00,0.6666666666666666,18168.0,Philadelphia 76ers,Chicago Bulls,0.0,5.0,Wednesday,March,11510.0
1999-03-03 00:00:00,0.25,20674.0,Washington Wizards,Indiana Pacers,0.0,0.0,Wednesday,March,12912.0
1999-03-04 00:00:00,0.6666666666666666,20562.0,Cleveland Cavaliers,Detroit Pistons,0.0,5.0,Thursday,March,13248.0
1999-03-05 00:00:00,0.3076923076923077,20173.0,Washington Wizards,Charlotte Hornets,0.0,1.0,Friday,March,15703.0
1999-03-05 00:00:00,0.8461538461538461,18102.0,Utah Jazz,Dallas Mavericks,0.0,3.0,Friday,March,19539.0
1999-03-05 00:00:00,0.625,18168.0,Philadelphia 76ers,Miami Heat,0.0,4.0,Friday,March,19949.0
1999-03-05 00:00:00,0.26666666666666666,14890.0,Boston Celtics,Denver Nuggets,0.0,1.0,Friday,March,18624.0
1999-03-05 00:00:00,0.8333333333333334,20128.0,Portland Trail Blazers,Minnesota Timberwolves,0.0,5.0,Friday,March,19264.0
1999-03-06 00:00:00,0.38461538461538464,18422.0,Phoenix Suns,Sacramento Kings,0.0,2.0,Saturday,March,19023.0
1999-03-06 00:00:00,0.4666666666666667,20562.0,Cleveland Cavaliers,Golden State Warriors,0.0,1.0,Saturday,March,12894.0
1999-03-07 00:00:00,0.7857142857142857,18419.0,Utah Jazz,Los Angeles Lakers,0.0,3.0,Sunday,March,19911.0
1999-03-07 00:00:00,0.35714285714285715,14668.0,Philadelphia 76ers,Washington Wizards,0.0,2.0,Sunday,March,16797.0
1999-03-07 00:00:00,0.8461538461538461,18231.0,Portland Trail Blazers,Houston Rockets,0.0,5.0,Sunday,March,20062.0
1999-03-09 00:00:00,0.8,19911.0,Utah Jazz,Cleveland Cavaliers,0.0,3.0,Tuesday,March,18753.0
1999-03-09 00:00:00,0.4,19980.0,Portland Trail Blazers,Sacramento Kings,0.0,2.0,Tuesday,March,18147.0
1999-03-10 00:00:00,0.4705882352941176,18422.0,Phoenix Suns,Cleveland Cavaliers,0.0,1.0,Wednesday,March,18567.0
1999-03-10 00:00:00,0.375,20173.0,Washington Wizards,Detroit Pistons,0.0,3.0,Wednesday,March,16316.0
1999-03-10 00:00:00,0.5789473684210527,16150.0,Philadelphia 76ers,Charlotte Hornets,0.0,2.0,Wednesday,March,14590.0
1999-03-11 00:00:00,0.8125,19911.0,Utah Jazz,Denver Nuggets,0.0,3.0,Thursday,March,19911.0
1999-03-12 00:00:00,0.8235294117647058,20399.0,Portland Trail Blazers,Utah Jazz,0.0,4.0,Friday,March,20668.0
1999-03-12 00:00:00,0.5,20546.0,Chicago Bulls,New York Knicks,0.0,1.0,Friday,March,23079.0
1999-03-12 00:00:00,0.3333333333333333,20173.0,Washington Wizards,Charlotte Hornets,0.0,2.0,Friday,March,16343.0
1999-03-12 00:00:00,0.6111111111111112,18422.0,Phoenix Suns,San Antonio Spurs,0.0,5.0,Friday,March,19023.0
1999-03-13 00:00:00,0.8333333333333334,19318.0,Utah Jazz,Minnesota Timberwolves,0.0,4.0,Saturday,March,19911.0
1999-03-14 00:00:00,0.3684210526315789,13921.0,Washington Wizards,Milwaukee Bucks,0.0,2.0,Sunday,March,14353.0
1999-03-14 00:00:00,0.4736842105263158,18422.0,Phoenix Suns,Houston Rockets,0.0,2.0,Sunday,March,19023.0
1999-03-15 00:00:00,0.8421052631578947,13989.0,Minnesota Timberwolves,Utah Jazz,0.0,5.0,Monday,March,18447.0
1999-03-15 00:00:00,0.4444444444444444,20935.0,Chicago Bulls,Cleveland Cavaliers,0.0,3.0,Monday,March,22456.0
1999-03-16 00:00:00,0.4736842105263158,18207.0,Minnesota Timberwolves,Los Angeles Lakers,0.0,1.0,Tuesday,March,19006.0
1999-03-16 00:00:00,0.5714285714285714,20562.0,Cleveland Cavaliers,Detroit Pistons,0.0,2.0,Tuesday,March,12928.0
1999-03-17 00:00:00,0.05882352941176471,14890.0,Boston Celtics,Los Angeles Clippers,0.0,1.0,Wednesday,March,18263.0
1999-03-17 00:00:00,0.5714285714285714,13245.0,Philadelphia 76ers,Indiana Pacers,0.0,2.0,Wednesday,March,16588.0
1999-03-18 00:00:00,0.7142857142857143,18119.0,Cleveland Cavaliers,Los Angeles Lakers,0.0,3.0,Thursday,March,20562.0
1999-03-18 00:00:00,0.3333333333333333,14541.0,Washington Wizards,Utah Jazz,0.0,1.0,Thursday,March,16121.0
1999-03-19 00:00:00,0.6363636363636364,19980.0,Portland Trail Blazers,San Antonio Spurs,0.0,4.0,Friday,March,20041.0
1999-03-19 00:00:00,0.5909090909090909,16105.0,Philadelphia 76ers,Los Angeles Lakers,0.0,3.0,Friday,March,20644.0
1999-03-20 00:00:00,0.3636363636363637,15424.0,Washington Wizards,Cleveland Cavaliers,0.0,2.0,Saturday,March,19209.0
1999-03-21 00:00:00,0.8095238095238095,20580.0,Portland Trail Blazers,Philadelphia 76ers,0.0,4.0,Sunday,March,19980.0
1999-03-21 00:00:00,0.4761904761904762,19356.0,Minnesota Timberwolves,Los Angeles Clippers,0.0,1.0,Sunday,March,15371.0
1999-03-21 00:00:00,0.2380952380952381,14890.0,Boston Celtics,Chicago Bulls,0.0,2.0,Sunday,March,18624.0
1999-03-23 00:00:00,0.7826086956521741,18721.0,Utah Jazz,Miami Heat,0.0,3.0,Tuesday,March,19911.0
1999-03-23 00:00:00,0.4705882352941176,20926.0,Chicago Bulls,Toronto Raptors,0.0,5.0,Tuesday,March,22236.0
1999-03-23 00:00:00,0.5,14361.0,Cleveland Cavaliers,Boston Celtics,0.0,4.0,Tuesday,March,15810.0
1999-03-23 00:00:00,0.8181818181818182,19341.0,Portland Trail Blazers,Golden State Warriors,0.0,4.0,Tuesday,March,18731.0
1999-03-24 00:00:00,0.5,14890.0,Boston Celtics,Minnesota Timberwolves,0.0,2.0,Wednesday,March,18128.0
1999-03-25 00:00:00,0.8260869565217391,19980.0,Portland Trail Blazers,Phoenix Suns,0.0,5.0,Thursday,March,20328.0
1999-03-26 00:00:00,0.5217391304347826,14607.0,Minnesota Timberwolves,Miami Heat,0.0,3.0,Friday,March,19006.0
1999-03-26 00:00:00,0.4230769230769231,18422.0,Phoenix Suns,New York Knicks,0.0,1.0,Friday,March,19023.0
1999-03-26 00:00:00,0.5416666666666666,18168.0,Philadelphia 76ers,Boston Celtics,0.0,2.0,Friday,March,20627.0
1999-03-28 00:00:00,0.8333333333333334,15811.0,Phoenix Suns,Portland Trail Blazers,0.0,5.0,Sunday,March,19023.0
1999-03-28 00:00:00,0.5,11656.0,Minnesota Timberwolves,Milwaukee Bucks,0.0,3.0,Sunday,March,18449.0
1999-03-28 00:00:00,0.6666666666666666,14890.0,Boston Celtics,Indiana Pacers,0.0,4.0,Sunday,March,18624.0
1999-03-30 00:00:00,0.52,17820.0,Minnesota Timberwolves,Dallas Mavericks,0.0,3.0,Tuesday,March,15609.0
1999-03-30 00:00:00,0.5,0.0,Chicago Bulls,Philadelphia 76ers,0.0,1.0,Tuesday,March,22209.0
1999-03-30 00:00:00,0.5238095238095238,19974.0,Cleveland Cavaliers,Toronto Raptors,0.0,4.0,Tuesday,March,14209.0
1999-03-31 00:00:00,0.6071428571428571,14890.0,Boston Celtics,Detroit Pistons,0.0,4.0,Wednesday,March,16915.0
1999-03-31 00:00:00,0.3703703703703704,12401.0,Washington Wizards,Orlando Magic,0.0,2.0,Wednesday,March,20674.0
1999-03-31 00:00:00,0.42857142857142855,18422.0,Phoenix Suns,Golden State Warriors,0.0,2.0,Wednesday,March,18674.0
1999-03-31 00:00:00,0.3928571428571429,18452.0,Portland Trail Blazers,Sacramento Kings,0.0,3.0,Wednesday,March,18468.0
1999-04-01 00:00:00,0.76,16221.0,Utah Jazz,Houston Rockets,0.0,2.0,Thursday,April,19911.0
1999-04-02 00:00:00,0.5,18168.0,Philadelphia 76ers,Cleveland Cavaliers,0.0,1.0,Friday,April,18126.0
1999-04-02 00:00:00,0.5769230769230769,14890.0,Boston Celtics,Milwaukee Bucks,0.0,4.0,Friday,April,18128.0
