GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0026900001,21969,1969-10-15,1610612760,1610612737,SEA,ATL,Seattle SuperSonics,Atlanta Hawks,SEA @ ATL,ATL vs. SEA,L,W,240,240,45,47,,,,,,,,,,,29,30,43,36,0.674,0.833,,,,,,,,,,,,,,,25.0,31.0,119,124,-5,5,0,0
0026900002,21969,1969-10-15,1610612764,1610612741,BLT,CHI,Baltimore Bullets,Chicago Bulls,BLT vs. CHI,CHI @ BLT,W,L,240,240,42,36,,,,,,,,,,,14,21,21,23,0.667,0.913,,,,,,,,,,,,,,,27.0,20.0,98,93,5,-5,0,0
0026900003,21969,1969-10-15,1610612758,1610612752,CIN,NYK,Cincinnati Royals,New York Knicks,CIN vs. NYK,NYK @ CIN,L,W,240,240,34,33,,,,,,,,,,,21,28,23,34,0.913,0.824,,,,,,,,,,,,,,,26.0,23.0,89,94,-5,5,0,0
0026900004,21969,1969-10-16,1610612745,1610612756,SDR,PHX,San Diego Rockets,Phoenix Suns,SDR @ PHX,PHX vs. SDR,L,W,240,240,44,46,,,,,,,,,,,26,24,36,39,0.722,0.615,,,,,,,,,,,,,,,29.0,31.0,114,116,-2,2,0,0
0026900005,21969,1969-10-17,1610612747,1610612755,LAL,PHL,Los Angeles Lakers,Philadelphia 76ers,LAL @ PHL,PHL vs. LAL,L,W,240,240,42,52,,,,,,,,,,,42,27,62,35,0.677,0.771,,,,,,,,,,,,,,,25.0,40.0,126,131,-5,5,0,0
0026900006,21969,1969-10-17,1610612738,1610612758,BOS,CIN,Boston Celtics,Cincinnati Royals,BOS vs. CIN,CIN @ BOS,L,W,240,240,41,43,,,,,,,,,,,26,24,33,40,0.788,0.6,,,,,,,,,,,,,,,28.0,25.0,108,110,-2,2,0,0
0026900007,21969,1969-10-17,1610612752,1610612741,NYK,CHI,New York Knicks,Chicago Bulls,NYK @ CHI,CHI vs. NYK,W,L,240,240,51,26,,,,,,,,,,,14,35,19,50,0.737,0.7,,,,,,,,,,,,,,,37.0,20.0,116,87,29,-29,0,0
0026900008,21969,1969-10-18,1610612760,1610612741,SEA,CHI,Seattle SuperSonics,Chicago Bulls,SEA @ CHI,CHI vs. SEA,L,W,265,265,48,43,,,,,,,,,,,30,45,41,57,0.732,0.789,,,,,,,,,,,,,,,40.0,30.0,126,131,-5,5,0,0
0026900009,21969,1969-10-18,1610612744,1610612745,SFW,SDR,San Francisco Warriors,San Diego Rockets,SFW vs. SDR,SDR @ SFW,L,W,265,265,52,51,,,,,,,,,,,20,23,31,30,0.645,0.767,,,,,,,,,,,,,,,26.0,24.0,124,125,-1,1,0,0
0026900010,21969,1969-10-18,1610612755,1610612758,PHL,CIN,Philadelphia 76ers,Cincinnati Royals,PHL @ CIN,CIN vs. PHL,W,L,240,240,47,47,,,,,,,,,,,40,29,54,46,0.741,0.63,,,,,,,,,,,,,,,32.0,34.0,134,123,11,-11,0,0
0026900011,21969,1969-10-18,1610612764,1610612738,BLT,BOS,Baltimore Bullets,Boston Celtics,BLT vs. BOS,BOS @ BLT,W,L,240,240,49,40,,,,,,,,,,,26,37,34,39,0.765,0.949,,,,,,,,,,,,,,,24.0,27.0,124,117,7,-7,0,0
0026900012,21969,1969-10-18,1610612737,1610612756,ATL,PHX,Atlanta Hawks,Phoenix Suns,ATL vs. PHX,PHX @ ATL,W,L,240,240,53,40,,,,,,,,,,,15,36,26,57,0.577,0.632,,,,,,,,,,,,,,,33.0,28.0,121,116,5,-5,0,0
0026900013,21969,1969-10-18,1610612749,1610612765,MIL,DET,Milwaukee Bucks,Detroit Pistons,MIL vs. DET,DET @ MIL,W,L,240,240,50,43,,,,,,,,,,,19,24,23,30,0.826,0.8,,,,,,,,,,,,,,,24.0,19.0,119,110,9,-9,0,0
0026900014,21969,1969-10-18,1610612752,1610612747,NYK,LAL,New York Knicks,Los Angeles Lakers,NYK vs. LAL,LAL @ NYK,W,L,240,240,42,38,,,,,,,,,,,15,20,22,29,0.682,0.69,,,,,,,,,,,,,,,23.0,19.0,99,96,3,-3,0,0
0026900015,21969,1969-10-19,1610612760,1610612749,SEA,MIL,Seattle SuperSonics,Milwaukee Bucks,SEA @ MIL,MIL vs. SEA,L,W,240,240,41,57,,,,,,,,,,,24,16,44,23,0.545,0.696,,,,,,,,,,,,,,,22.0,30.0,106,130,-24,24,0,0
0026900016,21969,1969-10-21,1610612764,1610612747,BLT,LAL,Baltimore Bullets,Los Angeles Lakers,BLT vs. LAL,LAL @ BLT,L,W,265,265,57,47,,,,,,,,,,,23,48,31,59,0.742,0.814,,,,,,,,,,,,,,,36.0,27.0,137,142,-5,5,0,0
