GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0025900001,21959,1959-10-17,1610612758,1610612738,CIN,BOS,Cincinnati Royals,Boston Celtics,CIN @ BOS,BOS vs. CIN,L,W,0,0,46,30,,,,,,,,,,,33.0,29.0,39.0,46.0,0.846,0.63,,,,,,,,,,,,,,,33.0,28.0,125,129,-4,4,0,0
0025900002,21959,1959-10-18,1610612765,1610612747,DET,MNL,Detroit Pistons,Minneapolis Lakers,DET @ MNL,MNL vs. DET,W,L,0,0,44,39,,,,,,,,,,,18.0,27.0,,,,,,,,,,,,,,,,,,,29.0,25.0,106,105,1,-1,0,0
0025900003,21959,1959-10-24,1610612752,1610612744,NYK,PHW,New York Knicks,Philadelphia Warriors,NYK vs. PHW,PHW @ NYK,L,W,0,0,40,48,,,,,,,,,,,29.0,22.0,,,,,,,,,,,,,,,,,,,27.0,26.0,109,118,-9,9,0,0
0025900004,21959,1959-10-24,1610612755,1610612738,SYR,BOS,Syracuse Nationals,Boston Celtics,SYR vs. BOS,BOS @ SYR,L,W,0,0,36,46,,,,,,,,,,,37.0,29.0,,,,,,,,,,,,,,,,,,,30.0,31.0,109,121,-12,12,0,0
0025900005,21959,1959-10-24,1610612765,1610612758,DET,CIN,Detroit Pistons,Cincinnati Royals,DET @ CIN,CIN vs. DET,L,W,0,0,37,43,,,,,,,,,,,29.0,22.0,,,,,,,,,,,,,,,,,,,34.0,32.0,103,108,-5,5,0,0
0025900006,21959,1959-10-24,1610612737,1610612747,STL,MNL,St. Louis Hawks,Minneapolis Lakers,STL vs. MNL,MNL @ STL,L,W,0,0,34,37,,,,,,,,,,,19.0,20.0,,,,,,,,,,,,,,,,,,,26.0,24.0,87,94,-7,7,0,0
0025900007,21959,1959-10-25,1610612747,1610612758,MNL,CIN,Minneapolis Lakers,Cincinnati Royals,MNL @ CIN,CIN vs. MNL,L,W,0,0,36,43,,,,,,,,,,,30.0,17.0,,,,,,,,,,,,,,,,,,,24.0,26.0,102,103,-1,1,0,0
0025900008,21959,1959-10-28,1610612755,1610612765,SYR,DET,Syracuse Nationals,Detroit Pistons,SYR @ DET,DET vs. SYR,L,W,0,0,34,43,,,,,,,,,,,34.0,31.0,,,,,,,,,,,,,,,,,,,,,102,117,-15,15,0,0
0025900009,21959,1959-10-30,1610612758,1610612755,CIN,SYR,Cincinnati Royals,Syracuse Nationals,CIN vs. SYR,SYR @ CIN,L,W,0,0,43,49,,,,,,,,,,,41.0,38.0,,,,,,,,,,,,,,,,,,,31.0,31.0,127,136,-9,9,0,0
0025900010,21959,1959-10-31,1610612744,1610612765,PHW,DET,Philadelphia Warriors,Detroit Pistons,PHW vs. DET,DET @ PHW,W,L,0,0,47,49,,,,,,,,,,,26.0,14.0,40.0,19.0,0.65,0.737,,,,,,,,,,,,,,,,,120,112,8,-8,0,0
