GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0027500001,21975,1975-10-23,1610612739,1610612744,CLE,GOS,Cleveland Cavaliers,Golden State Warriors,CLE vs. GOS,GOS @ CLE,L,W,240,240,33,41,,,,,,,,,,,17,7,29,12,0.586,0.583,,,,,,,,,,,,,,,15,25,83,89,-6,6,0,0
0027500002,21975,1975-10-23,1610612764,1610612758,WAS,KCK,Washington Bullets,Kansas City Kings,WAS vs. KCK,KCK @ WAS,W,L,240,240,42,36,,,,,,,,,,,23,23,39,31,0.59,0.742,,,,,,,,,,,,,,,21,29,107,95,12,-12,0,0
0027500003,21975,1975-10-23,1610612747,1610612752,LAL,NYK,Los Angeles Lakers,New York Knicks,LAL @ NYK,NYK vs. LAL,W,L,240,240,36,40,,,,,,,,,,,32,21,44,28,0.727,0.75,,,,,,,,,,,,,,,32,34,104,101,3,-3,0,0
0027500004,21975,1975-10-23,1610612762,1610612737,NOJ,ATL,New Orleans Jazz,Atlanta Hawks,NOJ @ ATL,ATL vs. NOJ,L,W,240,240,36,45,,,,,,,,,,,19,19,27,29,0.704,0.655,,,,,,,,,,,,,,,24,21,91,109,-18,18,0,0
0027500005,21975,1975-10-24,1610612762,1610612765,NOJ,DET,New Orleans Jazz,Detroit Pistons,NOJ vs. DET,DET @ NOJ,W,L,240,240,43,44,,,,,,,,,,,28,18,38,26,0.737,0.692,,,,,,,,,,,,,,,27,33,114,106,8,-8,0,0
0027500006,21975,1975-10-24,1610612738,1610612745,BOS,HOU,Boston Celtics,Houston Rockets,BOS vs. HOU,HOU @ BOS,W,L,240,240,41,36,,,,,,,,,,,27,22,35,28,0.771,0.786,,,,,,,,,,,,,,,24,26,109,94,15,-15,0,0
0027500007,21975,1975-10-24,1610612755,1610612741,PHL,CHI,Philadelphia 76ers,Chicago Bulls,PHL @ CHI,CHI vs. PHL,W,L,240,240,39,42,,,,,,,,,,,32,19,50,25,0.64,0.76,,,,,,,,,,,,,,,27,34,110,103,7,-7,0,0
0027500008,21975,1975-10-24,1610612760,1610612757,SEA,POR,Seattle SuperSonics,Portland Trail Blazers,SEA vs. POR,POR @ SEA,W,L,240,240,40,33,,,,,,,,,,,25,31,37,42,0.676,0.738,,,,,,,,,,,,,,,33,31,105,97,8,-8,0,0
0027500009,21975,1975-10-25,1610612741,1610612749,CHI,MIL,Chicago Bulls,Milwaukee Bucks,CHI @ MIL,MIL vs. CHI,W,L,240,240,32,38,,,,,,,,,,,27,11,40,15,0.675,0.733,,,,,,,,,,,,,,,20,25,91,87,4,-4,0,0
0027500010,21975,1975-10-25,1610612739,1610612752,CLE,NYK,Cleveland Cavaliers,New York Knicks,CLE @ NYK,NYK vs. CLE,L,W,240,240,33,41,,,,,,,,,,,25,18,40,22,0.625,0.818,,,,,,,,,,,,,,,23,31,91,100,-9,9,0,0
0027500011,21975,1975-10-25,1610612765,1610612737,DET,ATL,Detroit Pistons,Atlanta Hawks,DET @ ATL,ATL vs. DET,W,L,240,240,43,36,,,,,,,,,,,22,30,31,35,0.71,0.857,,,,,,,,,,,,,,,30,29,108,102,6,-6,0,0
