GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0025400001,21954,1954-10-30,1610612738,1610612758,BOS,ROC,Boston Celtics,Rochester Royals,BOS @ ROC,ROC vs. BOS,L,W,0,0,27,34,,,,,,,,,,,41,30,,,,,,,,,,,,,,,,,,,26.0,31.0,95,98,-3,3,0,0
0025400002,21954,1954-10-30,1610612752,1610612747,NYK,MNL,New York Knicks,Minneapolis Lakers,NYK vs. MNL,MNL @ NYK,W,L,0,0,35,34,0.0,0.0,,,,,,,,,24,15,,,,,,,,,,,,,,,,,,,18.0,27.0,94,83,11,-11,0,0
0025400003,21954,1954-10-30,1610612737,1610612765,MIH,FTW,Milwaukee Hawks,Ft. Wayne Zollner Pistons,MIH vs. FTW,FTW @ MIH,L,W,0,0,22,33,,,,,,,,,,,28,25,,,,,,,,,,,,,,,,,,,24.0,29.0,72,91,-19,19,0,0
0025400004,21954,1954-10-31,1610612755,1610612747,SYR,MNL,Syracuse Nationals,Minneapolis Lakers,SYR vs. MNL,MNL @ SYR,L,W,0,0,31,34,0.0,0.0,,,,,,,,,32,29,,,,,,,,,,,,,,,,,,,28.0,36.0,94,97,-3,3,0,0
0025400005,21954,1954-10-31,1610612765,1610612738,FTW,BOS,Ft. Wayne Zollner Pistons,Boston Celtics,FTW vs. BOS,BOS @ FTW,W,L,0,0,27,30,,,,,,,,,,,36,26,,,,,,,,,,,,,,,,,,,21.0,32.0,90,86,4,-4,0,0
0025400006,21954,1954-11-02,1610612737,1610612752,MIH,NYK,Milwaukee Hawks,New York Knicks,MIH vs. NYK,NYK @ MIH,L,W,0,0,32,31,,,,,,,,,,,20,29,,,,,,,,,,,,,,,,,,,26.0,22.0,84,91,-7,7,0,0
0025400007,21954,1954-11-06,1610612755,1610612738,SYR,BOS,Syracuse Nationals,Boston Celtics,SYR @ BOS,BOS vs. SYR,L,W,0,0,28,47,,,,,,,,,,,28,13,,,,,,,,,,,,,,,,,,,12.0,21.0,84,107,-23,23,0,0
0025400008,21954,1954-11-06,1610612752,1610612765,NYK,FTW,New York Knicks,Ft. Wayne Zollner Pistons,NYK @ FTW,FTW vs. NYK,L,W,0,0,27,35,,,,,,,,,,,29,20,,,,,,,,,,,,,,,,,,,17.0,27.0,83,90,-7,7,0,0
0025400009,21954,1954-11-06,1610612747,1610612737,MNL,MIH,Minneapolis Lakers,Milwaukee Hawks,MNL vs. MIH,MIH @ MNL,W,L,0,0,26,22,0.0,0.0,,,,,,,,,27,23,,,,,,,,,,,,,,,,,,,19.0,17.0,79,67,12,-12,0,0
0025400010,21954,1954-11-07,1610612747,1610612752,MNL,NYK,Minneapolis Lakers,New York Knicks,MNL vs. NYK,NYK @ MNL,L,W,0,0,38,36,112.0,90.0,0.339,0.4,,,,,,,17,31,,,,,,,,,,,,,,,,,,,30.0,22.0,93,103,-10,10,0,0
0025400011,21954,1954-11-07,1610612758,1610612765,ROC,FTW,Rochester Royals,Ft. Wayne Zollner Pistons,ROC @ FTW,FTW vs. ROC,L,W,0,0,27,33,,,,,,,,,,,30,43,,,,,,,,,,,,,,,,,,,34.0,31.0,84,109,-25,25,0,0
0025400012,21954,1954-11-07,1610612737,1610612755,MIH,SYR,Milwaukee Hawks,Syracuse Nationals,MIH @ SYR,SYR vs. MIH,L,W,0,0,27,32,,,,,,,,,,,26,33,,,,,,,,,,,,,,,,,,,28.0,26.0,80,97,-17,17,0,0
0025400013,21954,1954-11-10,1610612758,1610612737,ROC,MIH,Rochester Royals,Milwaukee Hawks,ROC vs. MIH,MIH @ ROC,W,L,0,0,36,28,,,,,,,,,,,18,30,,,,,,,,,,,,,,,,,,,27.0,25.0,90,86,4,-4,0,0
0025400014,21954,1954-11-11,1610612755,1610612765,SYR,FTW,Syracuse Nationals,Ft. Wayne Zollner Pistons,SYR @ FTW,FTW vs. SYR,W,L,0,0,32,26,,,,,,,,,,,24,34,,,,,,,,,,,,,,,,,,,29.0,24.0,88,86,2,-2,0,0
0025400015,21954,1954-11-11,1610612738,1610612737,BOS,MIH,Boston Celtics,Milwaukee Hawks,BOS @ MIH,MIH vs. BOS,L,W,0,0,33,32,,,,,,,,,,,19,31,,,,,,,,,,,,,,,,,,,25.0,22.0,85,95,-10,10,0,0
0025400016,21954,1954-11-11,1610612758,1610612752,ROC,NYK,Rochester Royals,New York Knicks,ROC @ NYK,NYK vs. ROC,L,W,0,0,30,29,,,,,,,,,,,18,21,,,,,,,,,,,,,,,,,,,21.0,23.0,78,79,-1,1,0,0
0025400017,21954,1954-11-13,1610612765,1610612758,FTW,ROC,Ft. Wayne Zollner Pistons,Rochester Royals,FTW @ ROC,ROC vs. FTW,W,L,0,0,31,35,,,,,,,,,,,41,28,,,,,,,,,,,,,,,,,,,33.0,31.0,103,98,5,-5,0,0
0025400018,21954,1954-11-13,1610612752,1610612744,NYK,PHW,New York Knicks,Philadelphia Warriors,NYK @ PHW,PHW vs. NYK,L,W,0,0,29,33,,,,,,,,,,,28,21,,,,,,,,,,,,,,,,,,,21.0,22.0,86,87,-1,1,0,0
0025400019,21954,1954-11-13,1610612737,1610612755,MIH,SYR,Milwaukee Hawks,Syracuse Nationals,MIH vs. SYR,SYR @ MIH,W,L,0,0,29,22,,,,,,,,,,,27,28,35.0,48.0,0.771,0.583,,,,,,,,,,,,,,,31.0,28.0,85,72,13,-13,0,0
0025400020,21954,1954-11-14,1610612747,1610612755,MNL,SYR,Minneapolis Lakers,Syracuse Nationals,MNL vs. SYR,SYR @ MNL,W,L,0,0,39,31,,,,,,,,,,,21,30,,,,,,,,,,,,,,,,,,,29.0,25.0,99,92,7,-7,0,0
0025400021,21954,1954-11-14,1610612765,1610612737,FTW,MIH,Ft. Wayne Zollner Pistons,Milwaukee Hawks,FTW vs. MIH,MIH @ FTW,W,L,0,0,28,30,,,,,,,,,,,37,31,,,,,,,,,,,,,,,,,,,30.0,28.0,93,91,2,-2,0,0
0025400022,21954,1954-11-16,1610612758,1610612738,ROC,BOS,Rochester Royals,Boston Celtics,ROC @ BOS,BOS vs. ROC,L,W,0,0,33,29,,,,,,,,,,,32,41,47.0,51.0,0.681,0.804,,,,,,,,,,,,,,,31.0,28.0,98,99,-1,1,0,0
0025400023,21954,1954-11-16,1610612755,1610612744,SYR,PHW,Syracuse Nationals,Philadelphia Warriors,SYR vs. PHW,PHW @ SYR,W,L,0,0,29,27,,,,,,,,,,,28,31,,,,,,,,,,,,,,,,,,,27.0,27.0,86,85,1,-1,0,0
0025400024,21954,1954-11-18,1610612744,1610612752,PHW,NYK,Philadelphia Warriors,New York Knicks,PHW @ NYK,NYK vs. PHW,L,W,0,0,39,35,,,,,,,,,,,16,26,,,,,,,,,,,,,,,,,,,25.0,19.0,94,96,-2,2,0,0
0025400025,21954,1954-11-18,1610612755,1610612765,SYR,FTW,Syracuse Nationals,Ft. Wayne Zollner Pistons,SYR vs. FTW,FTW @ SYR,W,L,0,0,28,29,,,,,,,,,,,35,24,,,,,,,,,,,,,,,,,,,26.0,29.0,91,82,9,-9,0,0
0025400026,21954,1954-11-20,1610612752,1610612738,NYK,BOS,New York Knicks,Boston Celtics,NYK vs. BOS,BOS @ NYK,L,W,0,0,35,44,,,,,,,,,,,28,29,,,,,,,,,,,,,,,,,,,22.0,25.0,98,117,-19,19,0,0
0025400027,21954,1954-11-20,1610612765,1610612744,FTW,PHW,Ft. Wayne Zollner Pistons,Philadelphia Warriors,FTW @ PHW,PHW vs. FTW,L,W,0,0,30,34,,,,,,,,,,,22,31,,,,,,,,,,,,,,,,,,,32.0,27.0,82,99,-17,17,0,0
0025400028,21954,1954-11-20,1610612758,1610612755,ROC,SYR,Rochester Royals,Syracuse Nationals,ROC vs. SYR,SYR @ ROC,L,W,0,0,33,32,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,19.0,18.0,79,80,-1,1,0,0
0025400029,21954,1954-11-21,1610612738,1610612755,BOS,SYR,Boston Celtics,Syracuse Nationals,BOS @ SYR,SYR vs. BOS,L,W,0,0,40,44,,,,,,,,,,,24,22,,,,,,,,,,,,,,,,,,,23.0,24.0,104,110,-6,6,0,0
0025400030,21954,1954-11-21,1610612765,1610612758,FTW,ROC,Ft. Wayne Zollner Pistons,Rochester Royals,FTW vs. ROC,ROC @ FTW,W,L,0,0,27,27,,,,,,,,,,,35,24,,,,,,,,,,,,,,,,,,,24.0,30.0,89,78,11,-11,0,0
0025400031,21954,1954-11-24,1610612752,1610612738,NYK,BOS,New York Knicks,Boston Celtics,NYK @ BOS,BOS vs. NYK,L,W,0,0,36,43,,,,,,,,,,,31,22,,,,,,,,,,,,,,,,,,,19.0,27.0,103,108,-5,5,0,0
