GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0026100001,21961,1962-01-19,1610612737,1610612764,STL,CHP,St. Louis Hawks,Chicago Packers,STL @ CHP,CHP vs. STL,W,L,0,0,45.0,46.0,,,,,,,,,,,24.0,21.0,31.0,37.0,0.774,0.568,,,,,,,,,,,,,,,,,114,113,1,-1,0,0
0026100002,21961,1961-10-19,1610612744,1610612747,PHW,LAL,Philadelphia Warriors,Los Angeles Lakers,PHW @ LAL,LAL vs. PHW,L,W,0,0,45.0,42.0,,,,,,,,,,,23.0,34.0,,,,,,,,,,,,,,,,,,,29.0,27.0,113,118,-5,5,0,0
0026100003,21961,1961-10-19,1610612764,1610612752,CHP,NYK,Chicago Packers,New York Knicks,CHP @ NYK,NYK vs. CHP,L,W,0,0,34.0,51.0,,,,,,,,,,,35.0,18.0,,,,,,,,,,,,,,,,,,,26.0,35.0,103,120,-17,17,0,0
0026100004,21961,1961-10-20,1610612744,1610612747,PHW,LAL,Philadelphia Warriors,Los Angeles Lakers,PHW vs. LAL,LAL @ PHW,W,L,0,0,47.0,44.0,,,,,,,,,,,28.0,27.0,,,,,,,,,,,,,,,,,,,30.0,29.0,122,115,7,-7,0,0
0026100005,21961,1961-10-21,1610612737,1610612758,STL,CIN,St. Louis Hawks,Cincinnati Royals,STL vs. CIN,CIN @ STL,L,W,240,240,50.0,48.0,115.0,114.0,0.435,0.421,0.0,0.0,0.0,0.0,,,29.0,42.0,33.0,56.0,0.879,0.75,,,,,67.0,58.0,,,,,,,,,36.0,27.0,129,138,-9,9,0,0
0026100006,21961,1961-10-21,1610612755,1610612764,SYR,CHP,Syracuse Nationals,Chicago Packers,SYR vs. CHP,CHP @ SYR,W,L,0,0,47.0,31.0,,,,,,,,,,,29.0,41.0,,,,,,,,,,,,,,,,,,,46.0,29.0,123,103,20,-20,0,0
0026100007,21961,1961-10-21,1610612765,1610612738,DET,BOS,Detroit Pistons,Boston Celtics,DET @ BOS,BOS vs. DET,L,W,0,0,38.0,55.0,,,,,,,,,,,26.0,27.0,41.0,37.0,0.634,0.73,,,,,,,,,,,,,,,,,102,137,-35,35,0,0
0026100008,21961,1961-10-21,1610612744,1610612752,PHW,NYK,Philadelphia Warriors,New York Knicks,PHW vs. NYK,NYK @ PHW,W,L,0,0,54.0,41.0,,,,,,,,,,,24.0,13.0,,,,,,,,,,,,,,,,,,,14.0,22.0,132,95,37,-37,0,0
0026100009,21961,1961-10-24,1610612758,1610612747,CIN,LAL,Cincinnati Royals,Los Angeles Lakers,CIN @ LAL,LAL vs. CIN,L,W,0,0,46.0,47.0,,,,,,,,,,,30.0,30.0,49.0,41.0,0.612,0.732,,,,,,,,,,,,,,,27.0,28.0,122,124,-2,2,0,0
0026100010,21961,1961-10-24,1610612752,1610612737,NYK,STL,New York Knicks,St. Louis Hawks,NYK vs. STL,STL @ NYK,W,L,240,240,42.0,36.0,101.0,84.0,0.416,0.429,,,,,,,38.0,38.0,39.0,46.0,0.974,0.826,,,,,66.0,63.0,,,,,,,,,32.0,26.0,112,110,2,-2,0,0
0026100011,21961,1961-10-25,1610612747,1610612765,LAL,DET,Los Angeles Lakers,Detroit Pistons,LAL @ DET,DET vs. LAL,W,L,0,0,43.0,41.0,,,,,,,,,,,34.0,34.0,43.0,44.0,0.791,0.773,,,,,,,,,,,,,,,,,120,116,4,-4,0,0
0026100012,21961,1961-10-26,1610612752,1610612758,NYK,CIN,New York Knicks,Cincinnati Royals,NYK vs. CIN,CIN @ NYK,W,L,0,0,49.0,46.0,,,,,,,,,,,22.0,25.0,,,,,,,,,,,,,,,,,,,,,120,117,3,-3,0,0
0026100013,21961,1961-10-26,1610612737,1610612755,STL,SYR,St. Louis Hawks,Syracuse Nationals,STL @ SYR,SYR vs. STL,W,L,247,240,37.0,40.0,118.0,116.0,0.314,0.345,,,,,,,36.0,27.0,51.0,35.0,0.706,0.771,,,,,92.0,76.0,,,,,,,,,27.0,35.0,110,107,3,-3,0,0
0026100014,21961,1961-10-27,1610612755,1610612744,SYR,PHW,Syracuse Nationals,Philadelphia Warriors,SYR @ PHW,PHW vs. SYR,W,L,0,0,42.0,45.0,,,,,,,,,,,42.0,32.0,,,,,,,,,,,,,,,,,,,,,126,122,4,-4,0,0
0026100015,21961,1961-10-27,1610612765,1610612747,DET,LAL,Detroit Pistons,Los Angeles Lakers,DET @ LAL,LAL vs. DET,L,W,0,0,41.0,48.0,,,,,,,,,,,36.0,32.0,,,,,,,,,,,,,,,,,,,,,118,128,-10,10,0,0
0026100016,21961,1961-10-27,1610612764,1610612737,CHP,STL,Chicago Packers,St. Louis Hawks,CHP vs. STL,STL @ CHP,W,L,0,0,44.0,40.0,,,,,,,,,,,29.0,26.0,35.0,41.0,0.829,0.634,,,,,,,,,,,,,,,27.0,24.0,117,106,11,-11,0,0
0026100017,21961,1961-10-28,1610612747,1610612765,LAL,DET,Los Angeles Lakers,Detroit Pistons,LAL vs. DET,DET @ LAL,W,L,0,0,51.0,48.0,,,,,,,,,,,33.0,30.0,43.0,49.0,0.767,0.612,,,,,,,,,,,,,,,,,135,126,9,-9,0,0
0026100018,21961,1961-10-28,1610612744,1610612755,PHW,SYR,Philadelphia Warriors,Syracuse Nationals,PHW @ SYR,SYR vs. PHW,W,L,0,0,39.0,44.0,,,,,,,,,,,41.0,27.0,55.0,37.0,0.745,0.73,,,,,,,,,,,,,,,,,119,115,4,-4,0,0
