GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0024600001,21946,1946-11-01,1610612752,1610610035,NYK,HUS,New York Knicks,Toronto Huskies,NYK @ HUS,HUS vs. NYK,W,L,0,0,24,25,,,,,,,,,,,20,16,26.0,29.0,0.769,0.552,,,,,,,,,,,,,,,,,68,66,2,-2,0,0
0024600002,21946,1946-11-02,1610610032,1610612738,PRO,BOS,Providence Steamrollers,Boston Celtics,PRO vs. BOS,BOS @ PRO,W,L,0,0,21,21,,,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,59,53,6,-6,0,0
0024600003,21946,1946-11-02,1610610031,1610610034,PIT,BOM,Pittsburgh Ironmen,St. Louis Bombers,PIT @ BOM,BOM vs. PIT,L,W,0,0,16,20,72.0,59.0,0.222,0.339,,,,,,,19,16,,,,,,,,,,,,,,,,,,,25.0,21.0,51,56,-5,5,0,0
0024600004,21946,1946-11-02,1610612752,1610610025,NYK,CHS,New York Knicks,Chicago Stags,NYK @ CHS,CHS vs. NYK,L,W,0,0,16,21,,,,,,,,,,,15,21,,,,,,,,,,,,,,,,,,,22.0,20.0,47,63,-16,16,0,0
0024600005,21946,1946-11-02,1610610028,1610610036,DEF,WAS,Detroit Falcons,Washington Capitols,DEF vs. WAS,WAS @ DEF,L,W,0,0,10,18,,,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,33,50,-17,17,0,0
0024600006,21946,1946-11-03,1610610026,1610610035,CLR,HUS,Cleveland Rebels,Toronto Huskies,CLR vs. HUS,HUS @ CLR,W,L,0,0,24,21,,,,,,,,,,,23,18,,,,,,,,,,,,,,,,,,,,,71,60,11,-11,0,0
0024600007,21946,1946-11-04,1610610031,1610610036,PIT,WAS,Pittsburgh Ironmen,Washington Capitols,PIT vs. WAS,WAS @ PIT,L,W,0,0,19,22,,,,,,,,,,,18,27,,,,,,,,,,,,,,,,,,,,,56,71,-15,15,0,0
0024600008,21946,1946-11-05,1610610025,1610612738,CHS,BOS,Chicago Stags,Boston Celtics,CHS @ BOS,BOS vs. CHS,W,L,0,0,24,23,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,57,55,2,-2,0,0
0024600009,21946,1946-11-05,1610610034,1610610028,BOM,DEF,St. Louis Bombers,Detroit Falcons,BOM @ DEF,DEF vs. BOM,W,L,0,0,20,18,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,53,49,4,-4,0,0
0024600010,21946,1946-11-07,1610612744,1610610031,PHW,PIT,Philadelphia Warriors,Pittsburgh Ironmen,PHW vs. PIT,PIT @ PHW,W,L,0,0,28,29,,,,,,,,,,,25,17,39.0,28.0,0.641,0.607,,,,,,,,,,,,,,,24.0,35.0,81,75,6,-6,0,0
0024600011,21946,1946-11-07,1610610025,1610610032,CHS,PRO,Chicago Stags,Providence Steamrollers,CHS @ PRO,PRO vs. CHS,L,W,0,0,27,31,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,14.0,20.0,65,73,-8,8,0,0
0024600012,21946,1946-11-07,1610610034,1610612752,BOM,NYK,St. Louis Bombers,New York Knicks,BOM vs. NYK,NYK @ BOM,L,W,0,0,25,26,104.0,89.0,0.24,0.292,,,,,,,13,16,20.0,23.0,0.65,0.696,,,,,,,,,,,,,,,21.0,16.0,63,68,-5,5,0,0
0024600013,21946,1946-11-08,1610610035,1610610028,HUS,DEF,Toronto Huskies,Detroit Falcons,HUS vs. DEF,DEF @ HUS,W,L,0,0,31,28,,,,,,,,,,,11,15,26.0,23.0,0.423,0.652,,,,,,,,,,,,,,,21.0,15.0,73,71,2,-2,0,0
0024600014,21946,1946-11-09,1610610034,1610610036,BOM,WAS,St. Louis Bombers,Washington Capitols,BOM vs. WAS,WAS @ BOM,W,L,0,0,28,19,,,,,,,,,,,14,31,,,,,,,,,,,,,,,,,,,36.0,26.0,70,69,1,-1,0,0
0024600015,21946,1946-11-09,1610610032,1610610031,PRO,PIT,Providence Steamrollers,Pittsburgh Ironmen,PRO vs. PIT,PIT @ PRO,W,L,0,0,22,25,,,,,,,,,,,32,16,,,,,,,,,,,,,,,,,,,,,76,66,10,-10,0,0
0024600016,21946,1946-11-09,1610610025,1610610035,CHS,HUS,Chicago Stags,Toronto Huskies,CHS vs. HUS,HUS @ CHS,W,L,0,0,22,17,,,,,,,,,,,18,16,,,,,,,,,,,,,,,,,,,22.0,23.0,64,54,10,-10,0,0
0024600017,21946,1946-11-09,1610612738,1610610028,BOS,DEF,Boston Celtics,Detroit Falcons,BOS @ DEF,DEF vs. BOS,L,W,0,0,15,26,,,,,,,,,,,16,17,,,,,,,,,,,,,,,,,,,,,46,69,-23,23,0,0
0024600018,21946,1946-11-10,1610610026,1610610036,CLR,WAS,Cleveland Rebels,Washington Capitols,CLR vs. WAS,WAS @ CLR,W,L,0,0,42,24,,,,,,,,,,,8,20,,,,,,,,,,,,,,,,,,,,,92,68,24,-24,0,0
