GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0027100001,21971,1971-10-12,1610612737,1610612758,ATL,CIN,Atlanta Hawks,Cincinnati Royals,ATL @ CIN,CIN vs. ATL,L,W,240,240,36,52,,,,,,,,,,,41,23,49,31,0.837,0.742,,,,,,,,,,,,,,,29.0,36.0,113,127,-14,14,0,0
0027100002,21971,1971-10-12,1610612752,1610612765,NYK,DET,New York Knicks,Detroit Pistons,NYK vs. DET,DET @ NYK,L,W,240,240,36,35,,,,,,,,,,,12,21,22,29,0.545,0.724,,,,,,,,,,,,,,,24.0,18.0,84,91,-7,7,0,0
0027100003,21971,1971-10-12,1610612741,1610612755,CHI,PHL,Chicago Bulls,Philadelphia 76ers,CHI vs. PHL,PHL @ CHI,L,W,240,240,37,45,,,,,,,,,,,26,24,43,31,0.605,0.774,,,,,,,,,,,,,,,27.0,31.0,100,114,-14,14,0,0
0027100004,21971,1971-10-12,1610612746,1610612760,BUF,SEA,Buffalo Braves,Seattle SuperSonics,BUF vs. SEA,SEA @ BUF,L,W,240,240,39,49,,,,,,,,,,,12,25,17,31,0.706,0.806,,,,,,,,,,,,,,,25.0,13.0,90,123,-33,33,0,0
0027100005,21971,1971-10-14,1610612756,1610612749,PHX,MIL,Phoenix Suns,Milwaukee Bucks,PHX vs. MIL,MIL @ PHX,L,W,240,240,38,47,,,,,,,,,,,21,16,31,21,0.677,0.762,,,,,,,,,,,,,,,19.0,26.0,97,110,-13,13,0,0
0027100006,21971,1971-10-14,1610612745,1610612755,HOU,PHL,Houston Rockets,Philadelphia 76ers,HOU vs. PHL,PHL @ HOU,L,W,240,240,37,40,,,,,,,,,,,20,25,28,34,0.714,0.735,,,,,,,,,,,,,,,24.0,28.0,94,105,-11,11,0,0
0027100007,21971,1971-10-15,1610612747,1610612765,LAL,DET,Los Angeles Lakers,Detroit Pistons,LAL @ DET,DET vs. LAL,W,L,240,240,54,40,,,,,,,,,,,24,23,27,32,0.889,0.719,,,,,,,,,,,,,,,24.0,20.0,132,103,29,-29,0,0
0027100008,21971,1971-10-15,1610612764,1610612741,BLT,CHI,Baltimore Bullets,Chicago Bulls,BLT @ CHI,CHI vs. BLT,L,W,240,240,32,37,,,,,,,,,,,18,32,29,48,0.621,0.667,,,,,,,,,,,,,,,30.0,26.0,82,106,-24,24,0,0
0027100009,21971,1971-10-15,1610612746,1610612739,BUF,CLE,Buffalo Braves,Cleveland Cavaliers,BUF @ CLE,CLE vs. BUF,W,L,265,265,41,46,,,,,,,,,,,29,17,45,28,0.644,0.607,,,,,,,,,,,,,,,24.0,27.0,111,109,2,-2,0,0
0027100010,21971,1971-10-15,1610612757,1610612760,POR,SEA,Portland Trail Blazers,Seattle SuperSonics,POR vs. SEA,SEA @ POR,L,W,240,240,35,46,,,,,,,,,,,18,27,21,34,0.857,0.794,,,,,,,,,,,,,,,23.0,18.0,88,119,-31,31,0,0
