GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0027900001,21979,1979-10-12,1610612764,1610612755,WAS,PHL,Washington Bullets,Philadelphia 76ers,WAS vs. PHL,PHL @ WAS,L,W,240,240,37,38,,,,,1,0,,,,,17,17,22,24,0.773,0.708,,,,,,,,,,,,,,,23.0,23.0,92,93,-1,1,0,0
0027900002,21979,1979-10-12,1610612739,1610612751,CLE,NJN,Cleveland Cavaliers,New Jersey Nets,CLE @ NJN,NJN vs. CLE,L,W,240,240,41,40,,,,,1,0,,,,,12,22,16,29,0.75,0.759,,,,,,,,,,,,,,,28.0,23.0,95,102,-7,7,0,0
0027900003,21979,1979-10-12,1610612758,1610612749,KCK,MIL,Kansas City Kings,Milwaukee Bucks,KCK vs. MIL,MIL @ KCK,W,L,240,240,44,40,,,,,0,0,,,,,17,23,24,27,0.708,0.852,,,,,,,,,,,,,,,26.0,22.0,105,103,2,-2,0,0
0027900004,21979,1979-10-12,1610612744,1610612756,GOS,PHX,Golden State Warriors,Phoenix Suns,GOS @ PHX,PHX vs. GOS,L,W,240,240,33,34,,,,,0,4,,,,,23,25,32,28,0.719,0.893,,,,,,,,,,,,,,,30.0,32.0,89,97,-8,8,0,0
0027900005,21979,1979-10-12,1610612757,1610612762,POR,UTH,Portland Trail Blazers,Utah Jazz,POR vs. UTH,UTH @ POR,W,L,240,240,44,30,,,,,0,0,,,,,13,25,19,34,0.684,0.735,,,,,,,,,,,,,,,25.0,21.0,101,85,16,-16,0,0
0027900006,21979,1979-10-12,1610612737,1610612752,ATL,NYK,Atlanta Hawks,New York Knicks,ATL vs. NYK,NYK @ ATL,W,L,240,240,50,38,,,,,0,0,,,,,21,28,27,34,0.778,0.824,,,,,,,,,,,,,,,34.0,23.0,121,104,17,-17,0,0
0027900007,21979,1979-10-12,1610612765,1610612754,DET,IND,Detroit Pistons,Indiana Pacers,DET vs. IND,IND @ DET,W,L,240,240,45,40,,,,,0,0,,,,,24,25,32,28,0.75,0.893,,,,,,,,,,,,,,,23.0,30.0,114,105,9,-9,0,0
0027900008,21979,1979-10-12,1610612747,1610612746,LAL,SDC,Los Angeles Lakers,San Diego Clippers,LAL @ SDC,SDC vs. LAL,W,L,240,240,41,44,,,,,0,0,,,,,21,14,31,14,0.677,1.0,,,,,,,,,,,,,,,24.0,20.0,103,102,1,-1,0,0
0027900009,21979,1979-10-12,1610612738,1610612745,BOS,HOU,Boston Celtics,Houston Rockets,BOS vs. HOU,HOU @ BOS,W,L,240,240,45,39,,,,,1,1,,,,,23,27,25,36,0.92,0.75,,,,,,,,,,,,,,,26.0,27.0,114,106,8,-8,0,0
0027900010,21979,1979-10-13,1610612765,1610612759,DET,SAN,Detroit Pistons,San Antonio Spurs,DET @ SAN,SAN vs. DET,W,L,240,240,48,40,,,,,0,0,,,,,16,30,31,35,0.516,0.857,,,,,,,,,,,,,,,26.0,27.0,112,110,2,-2,0,0
0027900011,21979,1979-10-13,1610612743,1610612749,DEN,MIL,Denver Nuggets,Milwaukee Bucks,DEN vs. MIL,MIL @ DEN,L,W,240,240,33,51,,,,,1,0,,,,,29,23,39,35,0.744,0.657,,,,,,,,,,,,,,,26.0,33.0,96,125,-29,29,0,0
