GAME_ID,SEASON_ID,GAME_DATE,TEAM_ID_1,TEAM_ID_2,TEAM_ABBREVIATION_1,TEAM_ABBREVIATION_2,TEAM_NAME_1,TEAM_NAME_2,MATCHUP_1,MATCHUP_2,WL_1,WL_2,MIN_1,MIN_2,FGM_1,FGM_2,FGA_1,FGA_2,FG_PCT_1,FG_PCT_2,FG3M_1,FG3M_2,FG3A_1,FG3A_2,FG3_PCT_1,FG3_PCT_2,FTM_1,FTM_2,FTA_1,FTA_2,FT_PCT_1,FT_PCT_2,OREB_1,OREB_2,DREB_1,DREB_2,REB_1,REB_2,AST_1,AST_2,STL_1,STL_2,BLK_1,BLK_2,TOV_1,TOV_2,PF_1,PF_2,PTS_1,PTS_2,PLUS_MINUS_1,PLUS_MINUS_2,VIDEO_AVAILABLE_1,VIDEO_AVAILABLE_2
0025700001,21957,1957-10-22,1610612737,1610612738,STL,BOS,St. Louis Hawks,Boston Celtics,STL vs. BOS,BOS @ STL,L,W,0,0,25,44,102.0,111.0,0.245,0.396,,,,,,,40,27,54.0,38.0,0.741,0.711,,,,,64.0,90.0,,,,,,,,,27.0,34.0,90,115,-25,25,0,0
0025700003,21957,1957-10-23,1610612737,1610612752,STL,NYK,St. Louis Hawks,New York Knicks,STL @ NYK,NYK vs. STL,L,W,0,0,30,35,,,,,,,,,,,35,42,,,,,,,,,,,,,,,,,,,38.0,30.0,95,112,-17,17,0,0
0025700004,21957,1957-10-23,1610612738,1610612765,BOS,DET,Boston Celtics,Detroit Pistons,BOS @ DET,DET vs. BOS,W,L,0,0,36,33,,,,,,,,,,,33,28,,,,,,,,,,,,,,,,,,,27.0,32.0,105,94,11,-11,0,0
0025700005,21957,1957-10-25,1610612744,1610612755,PHW,SYR,Philadelphia Warriors,Syracuse Nationals,PHW @ SYR,SYR vs. PHW,L,W,0,0,32,38,,,,,,,,,,,21,27,,,,,,,,,,,,,,,,,,,22.0,26.0,85,103,-18,18,0,0
0025700006,21957,1957-10-26,1610612738,1610612752,BOS,NYK,Boston Celtics,New York Knicks,BOS @ NYK,NYK vs. BOS,W,L,0,0,49,42,,,,,,,,,,,33,37,,,,,,,,,,,,,,,,,,,35.0,30.0,131,121,10,-10,0,0
0025700007,21957,1957-10-26,1610612758,1610612755,CIN,SYR,Cincinnati Royals,Syracuse Nationals,CIN vs. SYR,SYR @ CIN,W,L,0,0,42,26,,,,,,,,,,,26,48,,,,,,,,,,,,,,,,,,,36.0,27.0,110,100,10,-10,0,0
0025700008,21957,1957-10-26,1610612744,1610612765,PHW,DET,Philadelphia Warriors,Detroit Pistons,PHW @ DET,DET vs. PHW,W,L,0,0,42,34,,,,,,,,,,,28,32,,,,,,,,,,,,,,,,,,,27.0,27.0,112,100,12,-12,0,0
0025700009,21957,1957-10-26,1610612737,1610612747,STL,MNL,St. Louis Hawks,Minneapolis Lakers,STL vs. MNL,MNL @ STL,W,L,0,0,33,34,,,,,,,,,,,46,16,,,,,,,,,,,,,,,,,,,23.0,36.0,112,84,28,-28,0,0
0025700010,21957,1957-10-30,1610612747,1610612765,MNL,DET,Minneapolis Lakers,Detroit Pistons,MNL vs. DET,DET @ MNL,L,W,0,0,30,42,,,,,,,,,,,36,31,,,,,,,,,,,,,,,,,,,28.0,29.0,96,115,-19,19,0,0
0025700011,21957,1957-11-01,1610612747,1610612755,MNL,SYR,Minneapolis Lakers,Syracuse Nationals,MNL @ SYR,SYR vs. MNL,L,W,0,0,37,44,,,,,,,,,,,26,25,,,,,,,,,,,,,,,,,,,25.0,27.0,100,113,-13,13,0,0
0025700012,21957,1957-11-01,1610612737,1610612758,STL,CIN,St. Louis Hawks,Cincinnati Royals,STL @ CIN,CIN vs. STL,L,W,0,0,31,38,,,,,,,,,,,30,23,41.0,28.0,0.732,0.821,,,,,,,,,,,,,,,21.0,27.0,92,99,-7,7,0,0
0025700013,21957,1957-11-02,1610612744,1610612747,PHW,MNL,Philadelphia Warriors,Minneapolis Lakers,PHW vs. MNL,MNL @ PHW,W,L,0,0,35,30,,,,,,,,,,,48,48,,,,,,,,,,,,,,,,,,,37.0,37.0,118,108,10,-10,0,0
0025700014,21957,1957-11-02,1610612737,1610612758,STL,CIN,St. Louis Hawks,Cincinnati Royals,STL vs. CIN,CIN @ STL,W,L,0,0,37,36,,,,,,,,,,,28,21,,,,,,,,,,,,,,,,,,,21.0,25.0,102,93,9,-9,0,0
0025700015,21957,1957-11-02,1610612738,1610612755,BOS,SYR,Boston Celtics,Syracuse Nationals,BOS vs. SYR,SYR @ BOS,W,L,0,0,39,27,,,,,,,,,,,29,29,,,,,,,,,,,,,,,,,,,24.0,26.0,107,83,24,-24,0,0
0025700016,21957,1957-11-03,1610612752,1610612744,NYK,PHW,New York Knicks,Philadelphia Warriors,NYK vs. PHW,PHW @ NYK,W,L,0,0,44,34,,,,,,,,,,,35,37,,,,,,,,,,,,,,,,,,,28.0,28.0,123,105,18,-18,0,0
0025700017,21957,1957-11-03,1610612738,1610612755,BOS,SYR,Boston Celtics,Syracuse Nationals,BOS @ SYR,SYR vs. BOS,W,L,0,0,46,37,,,,,,,,,,,21,21,,,,,,,,,,,,,,,,,,,22.0,28.0,113,95,18,-18,0,0
0025700018,21957,1957-11-03,1610612765,1610612758,DET,CIN,Detroit Pistons,Cincinnati Royals,DET @ CIN,CIN vs. DET,W,L,0,0,26,35,,,,,,,,,,,42,18,,,,,,,,,,,,,,,,,,,24.0,35.0,94,88,6,-6,0,0
0025700019,21957,1957-11-05,1610612765,1610612738,DET,BOS,Detroit Pistons,Boston Celtics,DET @ BOS,BOS vs. DET,L,W,0,0,36,36,,,,,,,,,,,33,39,,,,,,,,,,,,,,,,,,,30.0,26.0,105,111,-6,6,0,0
0025700020,21957,1957-11-05,1610612737,1610612755,STL,SYR,St. Louis Hawks,Syracuse Nationals,STL vs. SYR,SYR @ STL,W,L,0,0,38,34,,,,,,,,,,,39,33,,,,,,,,,,,,,,,,,,,29.0,29.0,115,101,14,-14,0,0
0025700021,21957,1957-11-06,1610612738,1610612747,BOS,MNL,Boston Celtics,Minneapolis Lakers,BOS @ MNL,MNL vs. BOS,W,L,0,0,38,34,,,,,,,,,,,27,26,,,,,,,,,,,,,,,,,,,18.0,27.0,103,94,9,-9,0,0
0025700022,21957,1957-11-07,1610612752,1610612744,NYK,PHW,New York Knicks,Philadelphia Warriors,NYK @ PHW,PHW vs. NYK,L,W,0,0,33,44,,,,,,,,,,,35,25,,,,,,,,,,,,,,,,,,,21.0,31.0,101,113,-12,12,0,0
0025700023,21957,1957-11-08,1610612758,1610612738,CIN,BOS,Cincinnati Royals,Boston Celtics,CIN vs. BOS,BOS @ CIN,L,W,0,0,40,47,,,,,,,,,,,30,28,43.0,40.0,0.698,0.7,,,,,,,,,,,,,,,,,110,122,-12,12,0,0
