SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21959,1610612758,CIN,Cincinnati Royals,0025900001,1959-10-17,CIN @ BOS,L,0,46,,,,,,33.0,39.0,0.846,,,,,,,,33.0,125,-4,0
21959,1610612738,BOS,Boston Celtics,0025900001,1959-10-17,BOS vs. CIN,W,0,30,,,,,,29.0,46.0,0.63,,,,,,,,28.0,129,4,0
21959,1610612765,DET,Detroit Pistons,0025900002,1959-10-18,DET @ MNL,W,0,44,,,,,,18.0,,,,,,,,,,29.0,106,1,0
21959,1610612747,MNL,Minneapolis Lakers,0025900002,1959-10-18,MNL vs. DET,L,0,39,,,,,,27.0,,,,,,,,,,25.0,105,-1,0
21959,1610612752,NYK,New York Knicks,0025900003,1959-10-24,NYK vs. PHW,L,0,40,,,,,,29.0,,,,,,,,,,27.0,109,-9,0
21959,1610612744,PHW,Philadelphia Warriors,0025900003,1959-10-24,PHW @ NYK,W,0,48,,,,,,22.0,,,,,,,,,,26.0,118,9,0
21959,1610612755,SYR,Syracuse Nationals,0025900004,1959-10-24,SYR vs. BOS,L,0,36,,,,,,37.0,,,,,,,,,,30.0,109,-12,0
21959,1610612738,BOS,Boston Celtics,0025900004,1959-10-24,BOS @ SYR,W,0,46,,,,,,29.0,,,,,,,,,,31.0,121,12,0
21959,1610612765,DET,Detroit Pistons,0025900005,1959-10-24,DET @ CIN,L,0,37,,,,,,29.0,,,,,,,,,,34.0,103,-5,0
21959,1610612758,CIN,Cincinnati Royals,0025900005,1959-10-24,CIN vs. DET,W,0,43,,,,,,22.0,,,,,,,,,,32.0,108,5,0
21959,1610612737,STL,St. Louis Hawks,0025900006,1959-10-24,STL vs. MNL,L,0,34,,,,,,19.0,,,,,,,,,,26.0,87,-7,0
21959,1610612747,MNL,Minneapolis Lakers,0025900006,1959-10-24,MNL @ STL,W,0,37,,,,,,20.0,,,,,,,,,,24.0,94,7,0
