SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21979,1610612737,ATL,Atlanta Hawks,0027900006,1979-10-12,ATL vs. NYK,W,240,50,,,0,,,21,27,0.778,,,,,,,,34.0,121,17,0
21979,1610612752,NYK,New York Knicks,0027900006,1979-10-12,NYK @ ATL,L,240,38,,,0,,,28,34,0.824,,,,,,,,23.0,104,-17,0
21979,1610612738,BOS,Boston Celtics,0027900009,1979-10-12,BOS vs. HOU,W,240,45,,,1,,,23,25,0.92,,,,,,,,26.0,114,8,0
21979,1610612745,HOU,Houston Rockets,0027900009,1979-10-12,HOU @ BOS,L,240,39,,,1,,,27,36,0.75,,,,,,,,27.0,106,-8,0
21979,1610612765,DET,Detroit Pistons,0027900007,1979-10-12,DET vs. IND,W,240,45,,,0,,,24,32,0.75,,,,,,,,23.0,114,9,0
21979,1610612754,IND,Indiana Pacers,0027900007,1979-10-12,IND @ DET,L,240,40,,,0,,,25,28,0.893,,,,,,,,30.0,105,-9,0
21979,1610612764,WAS,Washington Bullets,0027900001,1979-10-12,WAS vs. PHL,L,240,37,,,1,,,17,22,0.773,,,,,,,,23.0,92,-1,0
21979,1610612755,PHL,Philadelphia 76ers,0027900001,1979-10-12,PHL @ WAS,W,240,38,,,0,,,17,24,0.708,,,,,,,,23.0,93,1,0
21979,1610612744,GOS,Golden State Warriors,0027900004,1979-10-12,GOS @ PHX,L,240,33,,,0,,,23,32,0.719,,,,,,,,30.0,89,-8,0
21979,1610612756,PHX,Phoenix Suns,0027900004,1979-10-12,PHX vs. GOS,W,240,34,,,4,,,25,28,0.893,,,,,,,,32.0,97,8,0
21979,1610612757,POR,Portland Trail Blazers,0027900005,1979-10-12,POR vs. UTH,W,240,44,,,0,,,13,19,0.684,,,,,,,,25.0,101,16,0
