SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21964,1610612765,DET,Detroit Pistons,0026400002,1964-10-16,DET @ PHL,L,240,41,,,,,,31,43,0.721,,,,,,,,,113,-12,0
21964,1610612755,PHL,Philadelphia 76ers,0026400002,1964-10-16,PHL vs. DET,W,240,41,,,,,,43,49,0.878,,,,,,,,,125,12,0
21964,1610612758,CIN,Cincinnati Royals,0026400005,1964-10-17,CIN @ STL,L,240,33,,,,,,25,33,0.758,,,,,,,,,91,-3,0
21964,1610612737,STL,St. Louis Hawks,0026400005,1964-10-17,STL vs. CIN,W,240,36,,,,,,22,31,0.71,,,,,,,,,94,3,0
21964,1610612738,BOS,Boston Celtics,0026400006,1964-10-17,BOS vs. DET,W,240,43,,,,,,26,32,0.813,,,,,,,,,112,31,0
21964,1610612765,DET,Detroit Pistons,0026400006,1964-10-17,DET @ BOS,L,240,30,,,,,,21,30,0.7,,,,,,,,,81,-31,0
21964,1610612752,NYK,New York Knicks,0026400003,1964-10-17,NYK vs. LAL,L,240,44,,,,,,21,42,0.5,,,,,,,,,109,-4,0
21964,1610612747,LAL,Los Angeles Lakers,0026400003,1964-10-17,LAL @ NYK,W,240,38,,,,,,37,74,0.5,,,,,,,,,113,4,0
21964,1610612744,SFW,San Francisco Warriors,0026400004,1964-10-17,SFW @ BLT,L,240,38,,,,,,25,44,0.568,,,,,,,,,101,-20,0
21964,1610612764,BLT,Baltimore Bullets,0026400004,1964-10-17,BLT vs. SFW,W,240,47,,,,,,27,41,0.659,,,,,,,,,121,20,0
21964,1610612744,SFW,San Francisco Warriors,0026400007,1964-10-18,SFW @ CIN,L,240,41,,,,,,26,37,0.703,,,,,,,,,108,-9,0
21964,1610612758,CIN,Cincinnati Royals,0026400007,1964-10-18,CIN vs. SFW,W,240,44,,,,,,29,35,0.829,,,,,,,,,117,9,0
21964,1610612758,CIN,Cincinnati Royals,0026400008,1964-10-20,CIN vs. LAL,W,240,44,,,,,,33,42,0.786,,,,,,,,,121,8,0
21964,1610612747,LAL,Los Angeles Lakers,0026400008,1964-10-20,LAL @ CIN,L,240,45,,,,,,23,29,0.793,,,,,,,,,113,-8,0
21964,1610612765,DET,Detroit Pistons,0026400010,1964-10-21,DET vs. SFW,W,240,44,,,,,,20,32,0.625,,,,,,,,,108,4,0
21964,1610612744,SFW,San Francisco Warriors,0026400010,1964-10-21,SFW @ DET,L,240,37,,,,,,30,46,0.652,,,,,,,,,104,-4,0
21964,1610612764,BLT,Baltimore Bullets,0026400009,1964-10-21,BLT vs. LAL,L,240,33,,,,,,39,51,0.765,,,,,,,,,105,-3,0
21964,1610612747,LAL,Los Angeles Lakers,0026400009,1964-10-21,LAL @ BLT,W,240,40,,,,,,28,35,0.8,,,,,,,,,108,3,0
21964,1610612765,DET,Detroit Pistons,0026400012,1964-10-22,DET @ BOS,L,240,42,,,,,,18,27,0.667,,,,,,,,,102,-2,0
21964,1610612738,BOS,Boston Celtics,0026400012,1964-10-22,BOS vs. DET,W,240,41,,,,,,22,35,0.629,,,,,,,,,104,2,0
21964,1610612755,PHL,Philadelphia 76ers,0026400011,1964-10-22,PHL vs. BLT,L,265,48,,,,,,39,50,0.78,,,,,,,,,135,-3,0
21964,1610612764,BLT,Baltimore Bullets,0026400011,1964-10-22,BLT @ PHL,W,265,52,,,,,,34,43,0.791,,,,,,,,,138,3,0
21964,1610612744,SFW,San Francisco Warriors,0026400013,1964-10-23,SFW vs. LAL,L,240,37,,,,,,18,37,0.486,,,,,,,,,92,-2,0
21964,1610612747,LAL,Los Angeles Lakers,0026400013,1964-10-23,LAL @ SFW,W,240,31,,,,,,32,46,0.696,,,,,,,,,94,2,0
21964,1610612755,PHL,Philadelphia 76ers,0026400016,1964-10-24,PHL @ STL,L,240,33,,,,,,20,23,0.87,,,,,,,,,86,-40,0
21964,1610612737,STL,St. Louis Hawks,0026400016,1964-10-24,STL vs. PHL,W,240,46,,,,,,34,42,0.81,,,,,,,,,126,40,0
21964,1610612764,BLT,Baltimore Bullets,0026400015,1964-10-24,BLT @ BOS,L,240,34,,,,,,35,42,0.833,,,,,,,,,103,-28,0
21964,1610612738,BOS,Boston Celtics,0026400015,1964-10-24,BOS vs. BLT,W,240,54,,,,,,23,28,0.821,,,,,,,,,131,28,0
21964,1610612752,NYK,New York Knicks,0026400014,1964-10-24,NYK vs. DET,L,265,45,,,,,,18,31,0.581,,,,,,,,,108,-10,0
21964,1610612765,DET,Detroit Pistons,0026400014,1964-10-24,DET @ NYK,W,265,46,,,,,,26,41,0.634,,,,,,,,,118,10,0
21964,1610612752,NYK,New York Knicks,0026400019,1964-10-25,NYK vs. DET,W,240,45,,,,,,18,26,0.692,,,,,,,,,108,13,0
21964,1610612765,DET,Detroit Pistons,0026400019,1964-10-25,DET @ NYK,L,240,35,,,,,,25,46,0.543,,,,,,,,,95,-13,0
21964,1610612764,BLT,Baltimore Bullets,0026400018,1964-10-25,BLT vs. BOS,L,240,36,,,,,,28,45,0.622,,,,,,,,,100,-12,0
21964,1610612738,BOS,Boston Celtics,0026400018,1964-10-25,BOS @ BLT,W,240,46,,,,,,20,33,0.606,,,,,,,,,112,12,0
21964,1610612758,CIN,Cincinnati Royals,0026400017,1964-10-25,CIN vs. PHL,W,240,35,,,,,,39,51,0.765,,,,,,,,,109,2,0
21964,1610612755,PHL,Philadelphia 76ers,0026400017,1964-10-25,PHL @ CIN,L,240,39,,,,,,29,42,0.69,,,,,,,,,107,-2,0
21964,1610612752,NYK,New York Knicks,0026400020,1964-10-27,NYK vs. BOS,L,240,44,,,,,,15,25,0.6,,,,,,,,,103,-28,0
21964,1610612738,BOS,Boston Celtics,0026400020,1964-10-27,BOS @ NYK,W,240,50,,,,,,31,42,0.738,,,,,,,,,131,28,0
21964,1610612744,SFW,San Francisco Warriors,0026400021,1964-10-27,SFW vs. BLT,W,240,43,,,,,,15,23,0.652,,,,,,,,,101,11,0
21964,1610612764,BLT,Baltimore Bullets,0026400021,1964-10-27,BLT @ SFW,L,240,34,,,,,,22,35,0.629,,,,,,,,,90,-11,0
21964,1610612737,STL,St. Louis Hawks,0026400022,1964-10-27,STL @ PHL,L,240,26,,,,,,29,51,0.569,,,,,,,,,81,-19,0
21964,1610612755,PHL,Philadelphia 76ers,0026400022,1964-10-27,PHL vs. STL,W,240,39,,,,,,22,34,0.647,,,,,,,,,100,19,0
21964,1610612747,LAL,Los Angeles Lakers,0026400024,1964-10-28,LAL vs. BLT,W,240,46,,,,,,20,26,0.769,,,,,,,,,112,10,0
